id_department,department_name,terrain_area,old_antenna,new_antenna_type
18,La Guajira,1863600,14,d
4,Atlantico,682400,12,e
2,Antioquia,194800,8,b
14,Cundinamarca,595400,0,e
20,Meta,168400,5,d
21,Narino,1381800,3,c
26,San Andres y Providencia,1791400,14,a
29,Tolima,472000,19,c
9,Casanare,1595200,1,b
1,Amazonas,283200,18,d
30,Valle del Cauca,1533800,29,d
27,Santander,453800,8,a
5,Bolivar,1008000,16,d
9,Casanare,1746200,12,b
30,Valle del Cauca,446600,23,b
1,Amazonas,1306200,1,c
1,Amazonas,1543800,10,a
27,Santander,957000,30,c
27,Santander,809600,17,d
7,Caldas,1745400,21,e
18,La Guajira,1335000,30,d
6,Boyaca,1100400,5,b
10,Cauca,1822000,2,b
23,Putumayo,1876400,3,b
15,Guainia,1023600,5,c
29,Tolima,441000,20,d
28,Sucre,394600,26,a
32,Vichada,1303600,21,d
5,Bolivar,798800,30,d
19,Magdalena,1427800,20,d
21,Narino,886600,25,c
12,Choco,440000,26,d
5,Bolivar,771000,14,c
15,Guainia,774800,28,d
3,Arauca,280400,11,a
19,Magdalena,255200,21,e
12,Choco,1583600,6,b
9,Casanare,488000,2,b
17,Huila,1221800,6,c
22,Norte de Santander,984200,12,c
26,San Andres y Providencia,1541000,8,d
18,La Guajira,1628400,16,e
31,Vaupes,1874800,12,d
8,Caqueta,862000,0,d
9,Casanare,733600,10,b
5,Bolivar,171800,18,c
7,Caldas,156600,5,c
30,Valle del Cauca,858400,3,a
1,Amazonas,1514200,4,e
12,Choco,1160200,15,e
16,Guaviare,512200,29,e
11,Cesar,1071200,17,a
30,Valle del Cauca,96000,19,e
3,Arauca,182400,14,c
25,Risaralda,318000,1,b
25,Risaralda,1337600,4,a
16,Guaviare,133400,25,b
15,Guainia,1159400,0,a
10,Cauca,878600,25,e
32,Vichada,1080400,9,c
25,Risaralda,1100000,29,e
21,Narino,975600,29,e
12,Choco,1542400,7,e
12,Choco,185400,2,c
31,Vaupes,929600,10,b
25,Risaralda,1745200,13,d
26,San Andres y Providencia,730200,19,c
13,Cordoba,1219400,14,b
32,Vichada,489800,7,e
23,Putumayo,1395000,5,e
19,Magdalena,1127200,14,b
22,Norte de Santander,431800,18,b
16,Guaviare,882200,19,c
15,Guainia,1652000,14,c
14,Cundinamarca,187200,10,c
6,Boyaca,174400,21,c
8,Caqueta,1692600,0,a
5,Bolivar,1268200,20,c
13,Cordoba,465000,7,c
8,Caqueta,1961400,21,b
29,Tolima,1134000,8,e
5,Bolivar,1080000,23,b
8,Caqueta,1020000,15,d
27,Santander,1900400,20,b
27,Santander,1487600,11,b
2,Antioquia,1815200,7,b
2,Antioquia,1368400,19,e
3,Arauca,1237200,7,a
8,Caqueta,1755000,4,b
26,San Andres y Providencia,1445200,11,d
29,Tolima,1048200,11,c
24,Quindio,626600,6,c
16,Guaviare,156600,28,d
4,Atlantico,1040000,2,d
26,San Andres y Providencia,87600,4,d
6,Boyaca,560400,2,d
5,Bolivar,1562400,22,d
25,Risaralda,1423800,23,c
27,Santander,619000,3,a
24,Quindio,1354200,23,a
23,Putumayo,1341000,10,a
27,Santander,384600,16,a
30,Valle del Cauca,1830800,9,e
26,San Andres y Providencia,1851600,14,d
28,Sucre,561600,21,b
25,Risaralda,1611600,25,a
30,Valle del Cauca,394600,11,a
28,Sucre,1977600,18,b
15,Guainia,1004400,7,d
26,San Andres y Providencia,98800,3,a
8,Caqueta,484600,24,b
20,Meta,815400,26,b
12,Choco,1346000,18,e
22,Norte de Santander,1375200,5,a
22,Norte de Santander,1364600,17,c
29,Tolima,1092200,21,d
13,Cordoba,844200,20,c
2,Antioquia,78800,2,e
8,Caqueta,726000,27,c
21,Narino,1063000,18,c
18,La Guajira,506400,24,e
17,Huila,742600,21,a
23,Putumayo,325200,2,e
29,Tolima,535800,1,b
24,Quindio,1459600,10,d
1,Amazonas,1792800,10,d
1,Amazonas,1238400,21,d
11,Cesar,65600,9,a
19,Magdalena,1532400,10,d
13,Cordoba,746200,0,b
24,Quindio,1030600,29,d
25,Risaralda,1065000,30,d
27,Santander,534000,12,c
29,Tolima,400000,10,c
15,Guainia,874600,10,e
10,Cauca,1394200,18,e
29,Tolima,1366000,24,b
8,Caqueta,235400,11,e
31,Vaupes,1697800,18,c
32,Vichada,823400,11,e
12,Choco,1923800,23,a
24,Quindio,1837000,9,d
15,Guainia,362800,6,a
19,Magdalena,1509600,12,b
7,Caldas,1428200,5,c
7,Caldas,976600,3,e
2,Antioquia,326000,17,e
12,Choco,1606400,15,e
5,Bolivar,1029200,2,e
14,Cundinamarca,1058400,27,a
6,Boyaca,401600,13,c
12,Choco,1885400,14,b
8,Caqueta,768400,18,c
30,Valle del Cauca,1627200,0,b
17,Huila,972600,20,a
8,Caqueta,1669000,9,a
8,Caqueta,1330000,6,d
14,Cundinamarca,1742200,30,e
27,Santander,1498800,27,c
12,Choco,658400,30,c
31,Vaupes,1055200,10,a
26,San Andres y Providencia,134000,23,b
19,Magdalena,45800,2,a
9,Casanare,326800,11,b
29,Tolima,1497600,22,a
8,Caqueta,942000,20,d
16,Guaviare,1109200,14,e
28,Sucre,979600,14,e
29,Tolima,721400,3,e
27,Santander,1834600,26,e
22,Norte de Santander,179000,4,b
10,Cauca,1307000,9,e
13,Cordoba,665600,15,a
31,Vaupes,1171400,27,b
19,Magdalena,1901800,26,a
4,Atlantico,1176200,17,c
19,Magdalena,641600,13,d
32,Vichada,1777600,0,c
3,Arauca,785200,21,b
13,Cordoba,527600,10,e
12,Choco,1821200,16,d
11,Cesar,115000,14,b
13,Cordoba,148000,2,c
21,Narino,1422400,3,c
4,Atlantico,585000,18,e
4,Atlantico,236600,0,a
23,Putumayo,750200,15,c
8,Caqueta,1714400,17,d
19,Magdalena,830200,25,c
1,Amazonas,748600,5,d
10,Cauca,359200,11,e
11,Cesar,1441600,16,e
12,Choco,797600,0,c
9,Casanare,624400,30,c
18,La Guajira,923400,26,c
11,Cesar,213800,1,c
7,Caldas,684400,5,b
20,Meta,1892000,0,c
19,Magdalena,1842600,20,d
23,Putumayo,40800,17,c
11,Cesar,1333000,10,c
25,Risaralda,976200,10,d
14,Cundinamarca,609400,11,a
20,Meta,322400,21,a
19,Magdalena,533000,0,a
19,Magdalena,832200,5,e
10,Cauca,939400,26,c
28,Sucre,1713400,3,d
31,Vaupes,1616600,30,a
22,Norte de Santander,954200,5,c
10,Cauca,1841800,1,c
25,Risaralda,700200,29,a
16,Guaviare,1871400,19,e
8,Caqueta,985800,8,d
5,Bolivar,1256600,20,b
27,Santander,677600,26,a
12,Choco,1673600,23,b
2,Antioquia,1654200,5,c
21,Narino,1346000,1,c
27,Santander,278800,27,c
11,Cesar,548200,10,a
20,Meta,1082800,8,e
7,Caldas,605200,10,c
1,Amazonas,1614200,25,a
26,San Andres y Providencia,1054400,13,d
31,Vaupes,545600,13,b
22,Norte de Santander,1990200,18,a
13,Cordoba,1498600,26,b
22,Norte de Santander,1284000,0,c
11,Cesar,1025600,22,b
21,Narino,146200,26,e
20,Meta,1936400,12,b
32,Vichada,1753000,24,d
20,Meta,661400,11,c
7,Caldas,1176800,21,a
31,Vaupes,1910000,6,e
27,Santander,1238200,2,c
23,Putumayo,578200,11,d
12,Choco,1168600,5,c
32,Vichada,1838200,22,e
8,Caqueta,1330800,13,b
28,Sucre,478400,7,e
24,Quindio,1139000,18,d
21,Narino,169000,1,a
22,Norte de Santander,992600,18,d
1,Amazonas,576400,7,b
26,San Andres y Providencia,1641400,0,d
15,Guainia,1116200,3,d
13,Cordoba,163000,22,a
32,Vichada,710800,21,d
19,Magdalena,1258600,10,d
8,Caqueta,848200,19,e
31,Vaupes,1672200,10,a
18,La Guajira,165600,16,d
28,Sucre,161400,9,b
28,Sucre,1817200,8,a
30,Valle del Cauca,1808800,14,a
26,San Andres y Providencia,1353200,27,e
12,Choco,1389400,29,b
27,Santander,1771600,8,a
3,Arauca,1573600,0,b
29,Tolima,231600,30,a
2,Antioquia,142000,27,e
26,San Andres y Providencia,1434400,7,c
16,Guaviare,1764400,4,e
26,San Andres y Providencia,1503000,14,b
2,Antioquia,1404400,9,b
18,La Guajira,703200,3,a
4,Atlantico,1081400,8,e
29,Tolima,400800,0,c
1,Amazonas,1474400,0,e
25,Risaralda,1749400,9,e
2,Antioquia,60200,30,b
7,Caldas,1084600,7,e
25,Risaralda,452800,2,c
19,Magdalena,1959000,30,c
8,Caqueta,1891200,28,a
22,Norte de Santander,498400,8,d
9,Casanare,1656600,16,a
31,Vaupes,499800,7,b
12,Choco,1362800,22,a
2,Antioquia,1184000,26,b
8,Caqueta,697400,0,c
32,Vichada,1017800,25,d
20,Meta,388400,10,a
23,Putumayo,1300000,18,d
1,Amazonas,32000,22,c
12,Choco,990400,21,e
23,Putumayo,1826600,19,c
4,Atlantico,1280600,6,e
5,Bolivar,71600,21,c
5,Bolivar,890400,10,b
1,Amazonas,205600,15,e
3,Arauca,1206000,24,b
24,Quindio,74000,8,b
22,Norte de Santander,290400,22,a
5,Bolivar,1047800,3,a
19,Magdalena,1420000,9,b
32,Vichada,1909600,16,a
21,Narino,734400,25,d
5,Bolivar,1548000,30,d
10,Cauca,1094600,9,a
30,Valle del Cauca,1647600,28,e
17,Huila,1469000,23,c
14,Cundinamarca,1506200,26,d
18,La Guajira,1456400,28,b
29,Tolima,1285000,15,e
22,Norte de Santander,576600,9,c
5,Bolivar,922000,8,d
8,Caqueta,1905800,27,a
12,Choco,713200,27,e
18,La Guajira,1388000,21,c
31,Vaupes,1051200,20,b
25,Risaralda,975800,1,e
6,Boyaca,1174600,21,b
19,Magdalena,980800,30,b
14,Cundinamarca,1489400,5,d
11,Cesar,1551200,24,a
17,Huila,761600,19,a
30,Valle del Cauca,1151400,24,d
7,Caldas,557800,13,b
13,Cordoba,925000,19,b
25,Risaralda,1902200,21,b
5,Bolivar,1652600,17,c
17,Huila,410200,24,b
20,Meta,257200,26,d
6,Boyaca,1709800,20,b
26,San Andres y Providencia,985800,15,d
13,Cordoba,1485200,0,d
21,Narino,1398400,0,a
23,Putumayo,1809200,11,d
13,Cordoba,822000,20,e
22,Norte de Santander,258800,0,b
29,Tolima,1612000,16,a
5,Bolivar,1558000,23,b
23,Putumayo,939200,14,c
27,Santander,5200,10,e
1,Amazonas,1303000,9,d
15,Guainia,622200,1,b
22,Norte de Santander,597200,10,d
13,Cordoba,1454400,11,a
1,Amazonas,84600,7,c
16,Guaviare,258400,25,e
25,Risaralda,1663800,24,b
19,Magdalena,1899000,12,b
12,Choco,729600,30,d
32,Vichada,1792000,14,c
16,Guaviare,1576600,9,a
11,Cesar,1343600,12,a
2,Antioquia,1869600,22,d
14,Cundinamarca,876200,12,e
4,Atlantico,1266400,26,a
30,Valle del Cauca,848600,27,b
9,Casanare,532000,28,a
1,Amazonas,625800,13,e
20,Meta,1846800,24,c
32,Vichada,880200,7,c
22,Norte de Santander,1595000,4,e
20,Meta,1378400,17,e
14,Cundinamarca,460000,6,c
20,Meta,304200,8,e
9,Casanare,1720000,17,a
6,Boyaca,1729000,22,d
30,Valle del Cauca,1396800,0,c
30,Valle del Cauca,805200,24,a
11,Cesar,403400,24,e
18,La Guajira,1897000,5,a
9,Casanare,1137000,19,a
27,Santander,612200,5,d
7,Caldas,344800,17,a
1,Amazonas,694800,8,d
12,Choco,1608600,9,d
7,Caldas,687800,9,d
1,Amazonas,786400,5,e
19,Magdalena,877600,28,e
1,Amazonas,867000,11,a
2,Antioquia,1421400,11,a
14,Cundinamarca,1217600,2,b
6,Boyaca,129000,21,b
14,Cundinamarca,1259600,22,c
11,Cesar,927400,30,c
22,Norte de Santander,1903600,3,b
14,Cundinamarca,1359400,7,a
8,Caqueta,233400,11,c
27,Santander,754000,17,c
6,Boyaca,1715200,10,a
31,Vaupes,1973800,12,d
16,Guaviare,719200,23,c
7,Caldas,817600,17,e
19,Magdalena,727400,16,e
2,Antioquia,1584600,22,d
26,San Andres y Providencia,145400,24,c
23,Putumayo,1019200,5,b
13,Cordoba,1993600,19,c
18,La Guajira,1008800,27,d
19,Magdalena,225800,1,b
8,Caqueta,1060600,22,d
1,Amazonas,388400,3,e
32,Vichada,127200,3,c
10,Cauca,1867400,12,b
32,Vichada,1117600,19,d
15,Guainia,915000,15,b
8,Caqueta,981800,27,a
4,Atlantico,497400,11,a
31,Vaupes,1223600,15,d
30,Valle del Cauca,542800,23,d
31,Vaupes,1303400,5,e
14,Cundinamarca,647200,18,c
9,Casanare,1749200,28,d
3,Arauca,544200,12,d
15,Guainia,1859000,8,d
7,Caldas,1324800,19,b
28,Sucre,1755000,26,c
19,Magdalena,1115000,29,e
30,Valle del Cauca,906200,0,e
30,Valle del Cauca,427200,14,a
11,Cesar,1902200,15,e
27,Santander,1027000,11,c
4,Atlantico,784400,1,e
18,La Guajira,343200,6,c
21,Narino,1978200,9,e
22,Norte de Santander,5200,11,c
8,Caqueta,169200,18,d
26,San Andres y Providencia,1032400,23,d
19,Magdalena,1655600,9,b
11,Cesar,1620600,0,b
19,Magdalena,1148800,28,b
4,Atlantico,1629200,19,d
31,Vaupes,1135800,17,b
16,Guaviare,1031600,26,b
14,Cundinamarca,1822200,7,c
17,Huila,1561000,19,d
5,Bolivar,1047400,1,c
11,Cesar,1311400,25,b
29,Tolima,1263800,11,a
7,Caldas,539800,23,c
2,Antioquia,912200,6,d
3,Arauca,1359200,1,c
23,Putumayo,1262400,13,b
20,Meta,1371400,10,d
14,Cundinamarca,216400,8,a
11,Cesar,770800,19,e
30,Valle del Cauca,1470800,1,c
24,Quindio,1277400,7,e
32,Vichada,338600,25,c
10,Cauca,1217000,25,d
3,Arauca,2400,19,a
18,La Guajira,1573600,8,a
6,Boyaca,360800,3,c
17,Huila,1453800,11,c
30,Valle del Cauca,29400,23,b
24,Quindio,155000,10,e
17,Huila,1999800,6,b
4,Atlantico,1439800,8,d
6,Boyaca,1630400,2,d
2,Antioquia,447400,16,e
25,Risaralda,1045000,16,e
11,Cesar,1363200,1,b
2,Antioquia,468600,20,d
1,Amazonas,277600,24,a
15,Guainia,1383800,18,c
14,Cundinamarca,1028200,26,d
15,Guainia,1277600,9,d
21,Narino,961800,6,b
30,Valle del Cauca,786200,21,a
2,Antioquia,1988800,2,e
9,Casanare,29000,14,d
30,Valle del Cauca,406000,24,e
24,Quindio,72000,10,d
23,Putumayo,1467200,23,e
30,Valle del Cauca,1538600,5,a
17,Huila,1407400,30,c
13,Cordoba,1950200,17,c
12,Choco,1015400,10,e
26,San Andres y Providencia,170600,22,a
1,Amazonas,1945600,24,b
26,San Andres y Providencia,1252200,3,d
29,Tolima,765400,20,e
15,Guainia,548600,4,b
32,Vichada,1402400,22,b
24,Quindio,47000,11,b
18,La Guajira,1104400,21,e
18,La Guajira,983400,17,a
11,Cesar,1659200,10,d
8,Caqueta,1521000,12,d
29,Tolima,1469000,27,b
25,Risaralda,1639200,22,e
6,Boyaca,60200,10,a
27,Santander,1198400,3,a
1,Amazonas,1119000,29,b
9,Casanare,599800,26,d
28,Sucre,63400,2,b
20,Meta,1766200,17,a
23,Putumayo,408400,24,b
24,Quindio,801200,9,c
24,Quindio,1894600,12,b
10,Cauca,1242000,7,b
4,Atlantico,647800,10,c
15,Guainia,709000,18,e
28,Sucre,716200,4,c
29,Tolima,1548200,24,a
31,Vaupes,1767200,8,e
26,San Andres y Providencia,1246000,21,a
18,La Guajira,857200,12,d
17,Huila,1423000,16,b
10,Cauca,633000,18,a
7,Caldas,432200,23,b
16,Guaviare,1186200,6,b
19,Magdalena,584600,10,d
1,Amazonas,220000,11,e
3,Arauca,220200,18,e
10,Cauca,1862200,25,c
11,Cesar,1767400,3,a
16,Guaviare,751000,1,d
25,Risaralda,1267400,22,a
2,Antioquia,915200,1,b
13,Cordoba,983000,24,a
23,Putumayo,1483400,16,c
23,Putumayo,493600,2,d
19,Magdalena,402800,13,b
22,Norte de Santander,678200,16,d
29,Tolima,1078600,14,d
14,Cundinamarca,1049200,20,b
12,Choco,729800,25,c
26,San Andres y Providencia,912400,29,b
20,Meta,1145600,27,b
31,Vaupes,1120400,20,c
22,Norte de Santander,926200,1,d
28,Sucre,1954000,8,b
14,Cundinamarca,1046000,13,a
31,Vaupes,1378400,12,b
11,Cesar,868000,3,c
25,Risaralda,928600,21,b
24,Quindio,328000,5,c
2,Antioquia,1474400,8,a
24,Quindio,735600,9,c
28,Sucre,911000,21,e
2,Antioquia,396400,8,a
7,Caldas,793800,10,d
17,Huila,1495600,22,c
13,Cordoba,978600,27,e
24,Quindio,493000,5,c
10,Cauca,1526800,26,d
1,Amazonas,402000,5,d
3,Arauca,669800,23,c
28,Sucre,297000,28,d
7,Caldas,1970200,6,d
28,Sucre,577000,0,a
25,Risaralda,1626400,7,b
29,Tolima,400600,13,d
24,Quindio,613200,2,a
1,Amazonas,720000,16,d
7,Caldas,1155600,13,b
16,Guaviare,110600,28,c
31,Vaupes,1361000,30,b
26,San Andres y Providencia,805800,9,d
9,Casanare,1692400,11,e
4,Atlantico,1718400,11,a
1,Amazonas,266200,1,b
1,Amazonas,11200,27,e
21,Narino,466600,16,a
32,Vichada,1229600,2,e
20,Meta,1659400,3,b
32,Vichada,1861400,6,c
23,Putumayo,1595800,3,a
2,Antioquia,868400,1,d
29,Tolima,1367600,10,d
6,Boyaca,1622600,24,e
26,San Andres y Providencia,1382400,29,c
27,Santander,701800,14,a
26,San Andres y Providencia,1974000,26,d
1,Amazonas,1577800,9,a
27,Santander,1747000,2,c
17,Huila,322800,16,d
2,Antioquia,1001200,2,a
31,Vaupes,682400,6,e
2,Antioquia,603600,27,b
10,Cauca,840600,0,c
27,Santander,336600,29,d
9,Casanare,716800,1,e
1,Amazonas,1266800,24,c
28,Sucre,123800,21,d
32,Vichada,1675600,22,d
5,Bolivar,1832600,3,c
13,Cordoba,243200,3,a
5,Bolivar,1858000,1,b
20,Meta,1447400,0,d
23,Putumayo,554400,19,c
21,Narino,1569200,16,b
6,Boyaca,1643400,2,a
9,Casanare,1206400,14,a
2,Antioquia,679200,27,a
4,Atlantico,978200,13,a
32,Vichada,552200,25,e
8,Caqueta,620200,24,a
1,Amazonas,774200,12,d
7,Caldas,640400,17,d
21,Narino,1637800,8,a
6,Boyaca,1140400,0,d
5,Bolivar,1744800,4,e
18,La Guajira,611600,5,a
3,Arauca,9800,16,c
20,Meta,1149000,8,e
8,Caqueta,776800,22,d
32,Vichada,912600,11,c
5,Bolivar,1184800,3,c
25,Risaralda,1371600,8,a
29,Tolima,1401200,24,d
8,Caqueta,1002400,17,c
20,Meta,1011400,4,a
30,Valle del Cauca,590600,30,a
29,Tolima,42600,25,d
20,Meta,629200,12,b
25,Risaralda,1251800,8,c
31,Vaupes,1749400,9,d
12,Choco,1980000,7,b
24,Quindio,1286200,14,d
32,Vichada,850000,14,a
21,Narino,381000,16,c
24,Quindio,1539200,9,d
25,Risaralda,1118600,21,c
1,Amazonas,1550800,17,b
19,Magdalena,928400,18,b
14,Cundinamarca,1621400,11,a
7,Caldas,1996600,2,c
4,Atlantico,1466800,13,b
9,Casanare,1125200,12,b
15,Guainia,1835400,15,a
14,Cundinamarca,92800,25,a
27,Santander,1729400,11,d
15,Guainia,31400,22,e
28,Sucre,638800,15,a
30,Valle del Cauca,1098400,24,c
24,Quindio,1399400,14,d
16,Guaviare,972200,2,a
22,Norte de Santander,1628800,6,c
8,Caqueta,773400,23,c
18,La Guajira,1819600,21,d
10,Cauca,263400,28,a
28,Sucre,289600,28,d
9,Casanare,1613400,11,b
15,Guainia,614800,14,d
15,Guainia,1255200,21,b
29,Tolima,1600400,6,c
18,La Guajira,24400,14,c
8,Caqueta,746800,27,d
16,Guaviare,1623800,4,c
14,Cundinamarca,1191600,16,a
8,Caqueta,1231400,23,d
11,Cesar,198000,21,a
31,Vaupes,233800,20,d
25,Risaralda,1998800,0,b
16,Guaviare,1716600,23,b
4,Atlantico,201000,29,a
10,Cauca,257000,2,c
20,Meta,1212200,14,a
18,La Guajira,1614200,12,c
32,Vichada,398000,5,c
15,Guainia,1447600,5,d
30,Valle del Cauca,878000,16,b
32,Vichada,646200,26,a
19,Magdalena,1305000,0,e
22,Norte de Santander,678200,8,e
26,San Andres y Providencia,1909400,25,c
17,Huila,880400,14,e
19,Magdalena,1029200,9,a
14,Cundinamarca,336000,4,d
32,Vichada,1805600,11,d
10,Cauca,1827600,28,a
24,Quindio,1855800,26,b
5,Bolivar,921600,15,a
7,Caldas,1298800,6,e
2,Antioquia,833000,25,a
11,Cesar,944000,0,b
14,Cundinamarca,360600,15,d
29,Tolima,1524200,11,e
28,Sucre,1586000,3,d
27,Santander,1179200,10,e
16,Guaviare,1933200,0,a
12,Choco,1117200,26,b
32,Vichada,1647800,16,d
29,Tolima,607200,11,a
32,Vichada,783400,28,b
12,Choco,1593000,12,c
3,Arauca,17800,23,a
18,La Guajira,48600,30,e
15,Guainia,297600,21,a
3,Arauca,1597400,23,a
26,San Andres y Providencia,1420600,17,d
7,Caldas,1197400,11,c
26,San Andres y Providencia,1294800,29,c
6,Boyaca,498200,7,c
7,Caldas,1914000,23,c
16,Guaviare,335000,26,c
18,La Guajira,135400,19,e
7,Caldas,1967400,7,e
18,La Guajira,1032000,20,e
28,Sucre,172800,9,a
26,San Andres y Providencia,1261000,10,a
18,La Guajira,1377600,0,d
19,Magdalena,217800,29,b
20,Meta,333600,10,b
18,La Guajira,1742000,17,b
18,La Guajira,670600,21,d
17,Huila,1600,18,c
21,Narino,1658600,10,c
12,Choco,868200,5,e
15,Guainia,938200,20,a
22,Norte de Santander,554200,25,d
28,Sucre,509800,28,a
12,Choco,379800,8,c
23,Putumayo,60800,7,e
1,Amazonas,440400,12,e
10,Cauca,659800,25,d
18,La Guajira,837800,17,d
3,Arauca,484200,1,b
29,Tolima,1620600,21,a
29,Tolima,528400,16,e
28,Sucre,1463800,6,e
21,Narino,449400,16,a
26,San Andres y Providencia,936600,22,d
14,Cundinamarca,1359600,7,e
9,Casanare,1522600,22,b
21,Narino,798400,9,c
27,Santander,231000,1,d
4,Atlantico,1233800,15,a
15,Guainia,1125200,22,b
24,Quindio,1257800,2,a
9,Casanare,1236400,19,c
15,Guainia,612800,20,b
7,Caldas,636400,19,e
8,Caqueta,645400,18,b
12,Choco,70600,11,a
5,Bolivar,1322000,2,d
14,Cundinamarca,1850600,22,a
23,Putumayo,429600,14,e
5,Bolivar,1762800,16,a
2,Antioquia,1216600,9,d
31,Vaupes,269000,18,d
27,Santander,1995200,26,b
3,Arauca,354000,22,a
14,Cundinamarca,1913600,17,d
32,Vichada,1970400,16,b
3,Arauca,924800,4,c
23,Putumayo,1805600,4,b
25,Risaralda,1394200,0,e
6,Boyaca,1749400,29,a
28,Sucre,320200,25,d
14,Cundinamarca,1789000,25,c
23,Putumayo,1781200,25,e
13,Cordoba,361800,29,a
29,Tolima,524200,7,e
25,Risaralda,204600,7,a
13,Cordoba,1794000,21,d
13,Cordoba,1062800,12,c
20,Meta,1624600,8,e
8,Caqueta,371800,8,d
24,Quindio,1115600,14,c
28,Sucre,1628200,2,d
4,Atlantico,1660400,9,a
16,Guaviare,118600,20,b
30,Valle del Cauca,1305800,21,c
6,Boyaca,695600,0,d
24,Quindio,9000,28,d
6,Boyaca,112600,24,a
17,Huila,1698200,17,d
28,Sucre,1461600,3,d
2,Antioquia,961200,24,b
32,Vichada,94000,3,e
1,Amazonas,440800,25,e
14,Cundinamarca,211800,13,d
8,Caqueta,514000,8,d
23,Putumayo,1755400,4,c
1,Amazonas,489400,17,d
10,Cauca,375600,28,d
24,Quindio,1571200,26,a
10,Cauca,1087400,21,e
21,Narino,132000,17,d
28,Sucre,637800,14,a
2,Antioquia,251600,28,a
6,Boyaca,469000,16,c
26,San Andres y Providencia,1931400,15,a
1,Amazonas,844400,4,e
28,Sucre,1202200,26,b
11,Cesar,1279600,22,a
2,Antioquia,1674800,0,e
17,Huila,255200,27,c
21,Narino,1030600,17,d
13,Cordoba,122400,5,d
20,Meta,931600,29,e
14,Cundinamarca,1010800,9,e
1,Amazonas,663600,3,e
5,Bolivar,344400,7,a
12,Choco,43000,24,a
4,Atlantico,1439200,15,d
22,Norte de Santander,78400,21,b
15,Guainia,168200,21,b
28,Sucre,606600,7,a
18,La Guajira,779000,13,a
17,Huila,925600,21,b
14,Cundinamarca,249800,29,b
14,Cundinamarca,453000,11,c
32,Vichada,1692800,11,e
22,Norte de Santander,1350800,11,a
5,Bolivar,12400,3,c
18,La Guajira,578000,20,b
19,Magdalena,990600,3,c
11,Cesar,688400,0,a
32,Vichada,58000,25,e
15,Guainia,1714400,4,a
22,Norte de Santander,1459000,28,a
7,Caldas,486200,16,c
28,Sucre,1277000,11,a
31,Vaupes,108000,24,b
